precinctname,gillum8,desantis8,gillum13,desantis13,gillum_margin_8,gillum_margin_13,gillum_margin_CHANGE
A001,1060,1550,1117,1615,-490,-498,-8
A002,408,287,441,311,121,130,9
A003,589,528,622,552,61,70,9
A004,492,343,512,352,149,160,11
A005,437,554,466,565,-117,-99,18
A006,805,336,843,351,469,492,23
A007,551,506,553,508,45,45,0
A008,257,30,285,33,227,252,25
A009,1043,846,1051,847,197,204,7
A010,303,340,313,350,-37,-37,0
A011,1085,20,1144,22,1065,1122,57
A012,678,482,681,484,196,197,1
A013,1035,776,1083,818,259,265,6
A014,1155,647,1160,647,508,513,5
A015,1043,47,1097,51,996,1046,50
A016,678,466,682,469,212,213,1
A017,133,108,133,109,25,24,-1
A018,637,111,659,116,526,543,17
A019,539,437,565,444,102,121,19
A020,669,370,691,384,299,307,8
A021,664,182,690,185,482,505,23
A022,763,62,785,62,701,723,22
A023,414,56,427,56,358,371,13
A024,566,95,574,96,471,478,7
B001,203,647,206,650,-444,-444,0
B002,441,841,443,847,-400,-404,-4
B003,270,599,270,604,-329,-334,-5
B004,505,1201,509,1209,-696,-700,-4
B005,220,266,221,269,-46,-48,-2
B006,194,303,194,303,-109,-109,0
C001,869,1072,874,1074,-203,-200,3
C002,254,398,255,398,-144,-143,1
C003,305,301,305,302,4,3,-1
C004,409,520,409,522,-111,-113,-2
C005,1372,30,1379,31,1342,1348,6
C006,1717,79,1724,80,1638,1644,6
C007,139,184,141,184,-45,-43,2
C008,337,371,337,372,-34,-35,-1
C009,294,84,296,84,210,212,2
C010,769,680,777,683,89,94,5
C011,554,651,555,657,-97,-102,-5
C012,506,561,508,562,-55,-54,1
C013,322,359,322,359,-37,-37,0
C014,322,407,325,408,-85,-83,2
C015,1233,64,1237,64,1169,1173,4
C016,840,1063,842,1066,-223,-224,-1
C017,300,475,302,476,-175,-174,1
C018,438,589,440,593,-151,-153,-2
C019,394,630,396,634,-236,-238,-2
C020,433,59,434,60,374,374,0
C021,639,458,642,460,181,182,1
C022,372,615,375,618,-243,-243,0
C023,2321,1257,2340,1261,1064,1079,15
C024,1044,571,1062,578,473,484,11
C025,352,26,353,26,326,327,1
C026,226,74,236,76,152,160,8
C027,195,37,196,38,158,158,0
C028,1553,38,1590,40,1515,1550,35
C029,306,276,312,281,30,31,1
C030,719,438,720,442,281,278,-3
C031,803,383,811,387,420,424,4
C032,180,31,180,31,149,149,0
C033,275,139,279,139,136,140,4
C034,896,476,897,478,420,419,-1
C035,678,73,698,77,605,621,16
C036,173,33,175,36,140,139,-1
C037,338,300,340,305,38,35,-3
C038,57,68,57,70,-11,-13,-2
D001,613,390,626,392,223,234,11
D002,808,260,816,260,548,556,8
D003,768,462,770,463,306,307,1
D004,657,262,660,262,395,398,3
D005,1154,206,1156,207,948,949,1
D006,731,329,733,331,402,402,0
D007,595,71,597,71,524,526,2
D008,663,353,664,354,310,310,0
D009,1493,190,1497,191,1303,1306,3
D010,379,76,379,76,303,303,0
D011,150,16,150,16,134,134,0
D012,306,32,306,32,274,274,0
D013,688,137,694,137,551,557,6
D014,535,267,543,268,268,275,7
D015,824,412,830,415,412,415,3
D016,1207,623,1208,624,584,584,0
E001,288,40,289,40,248,249,1
E002,934,348,943,348,586,595,9
E003,689,615,705,632,74,73,-1
E004,1544,598,1576,607,946,969,23
E005,949,374,954,376,575,578,3
E006,1812,1125,1819,1128,687,691,4
E007,1510,757,1545,771,753,774,21
E008,1162,550,1165,554,612,611,-1
E009,633,420,635,422,213,213,0
E010,1583,859,1587,859,724,728,4
E011,1327,625,1336,627,702,709,7
E012,656,228,659,228,428,431,3
E013,953,593,956,595,360,361,1
E014,1279,1040,1285,1041,239,244,5
E015,535,408,558,417,127,141,14
E016,622,436,629,438,186,191,5
E017,1267,702,1270,706,565,564,-1
E018,380,366,380,367,14,13,-1
E019,805,321,805,322,484,483,-1
E020,1427,642,1428,645,785,783,-2
E021,712,407,714,408,305,306,1
E022,1181,820,1182,823,361,359,-2
E023,735,523,739,524,212,215,3
E024,1387,802,1394,804,585,590,5
E025,496,236,499,236,260,263,3
E026,741,379,743,381,362,362,0
E027,1373,721,1378,722,652,656,4
E028,697,258,702,258,439,444,5
E029,570,118,571,118,452,453,1
E030,298,49,300,49,249,251,2
E031,854,585,858,586,269,272,3
E032,874,536,879,536,338,343,5
E033,844,441,849,442,403,407,4
E034,322,270,325,271,52,54,2
F001,780,545,782,547,235,235,0
F002,635,298,641,298,337,343,6
F003,619,274,623,275,345,348,3
F004,2197,1106,2214,1113,1091,1101,10
F005,1554,929,1567,932,625,635,10
F006,1041,411,1042,414,630,628,-2
F007,1112,496,1120,499,616,621,5
F008,1034,434,1040,434,600,606,6
F009,878,366,884,368,512,516,4
F010,1099,547,1107,549,552,558,6
F011,404,339,406,341,65,65,0
F012,1496,983,1505,984,513,521,8
F013,479,224,481,225,255,256,1
F014,624,270,629,272,354,357,3
G001,997,277,999,280,720,719,-1
G002,1134,634,1136,635,500,501,1
G003,1001,487,1013,491,514,522,8
G004,1156,621,1163,622,535,541,6
G005,815,302,819,302,513,517,4
G006,1116,541,1137,556,575,581,6
G007,243,112,243,113,131,130,-1
G008,1530,322,1566,332,1208,1234,26
G009,429,69,429,69,360,360,0
G010,802,528,803,532,274,271,-3
G011,942,434,969,444,508,525,17
G012,740,360,742,363,380,379,-1
G013,446,93,450,94,353,356,3
G014,907,357,922,369,550,553,3
G015,815,356,818,358,459,460,1
G016,1485,702,1490,705,783,785,2
H001,1392,152,1397,153,1240,1244,4
H002,522,45,523,45,477,478,1
H003,1722,187,1728,189,1535,1539,4
H004,657,98,702,112,559,590,31
H005,1588,140,1596,141,1448,1455,7
H006,1006,153,1016,153,853,863,10
H007,1173,160,1174,160,1013,1014,1
H008,928,103,932,104,825,828,3
H009,542,67,544,67,475,477,2
H010,148,18,150,18,130,132,2
H011,1172,223,1175,224,949,951,2
J001,802,249,808,253,553,555,2
J002,737,311,739,311,426,428,2
J003,728,392,730,396,336,334,-2
J004,993,249,995,249,744,746,2
J005,786,245,789,247,541,542,1
J006,324,141,327,141,183,186,3
J007,1024,213,1028,213,811,815,4
J008,227,94,230,95,133,135,2
J009,731,294,736,294,437,442,5
J010,693,262,695,262,431,433,2
J011,1360,434,1368,436,926,932,6
J012,2227,753,2246,756,1474,1490,16
J013,1001,235,1022,239,766,783,17
J014,745,360,765,367,385,398,13
J015,851,317,853,319,534,534,0
J016,329,85,329,85,244,244,0
J017,966,147,969,147,819,822,3
J018,957,316,957,317,641,640,-1
J019,1685,590,1690,595,1095,1095,0
J020,744,163,745,165,581,580,-1
J021,1081,462,1083,462,619,621,2
J022,1088,387,1110,393,701,717,16
J023,604,272,628,280,332,348,16
J024,558,195,561,195,363,366,3
K001,766,42,769,42,724,727,3
K002,926,37,929,37,889,892,3
K003,1761,78,1771,79,1683,1692,9
K004,1217,44,1223,44,1173,1179,6
K005,832,26,838,26,806,812,6
K006,1060,41,1069,41,1019,1028,9
K007,1053,21,1055,21,1032,1034,2
K008,868,53,873,53,815,820,5
K009,971,110,974,110,861,864,3
K010,367,31,368,32,336,336,0
K011,1000,67,1000,67,933,933,0
L001,2508,503,2516,504,2005,2012,7
L002,776,15,778,15,761,763,2
L003,735,45,740,45,690,695,5
L004,2741,47,2772,47,2694,2725,31
L005,929,33,936,33,896,903,7
L006,1823,68,1832,68,1755,1764,9
L007,681,76,685,76,605,609,4
L008,1311,43,1316,44,1268,1272,4
L009,1183,186,1190,186,997,1004,7
L010,2451,342,2475,349,2109,2126,17
L011,766,49,772,50,717,722,5
L012,766,27,770,27,739,743,4
L013,1996,346,2009,347,1650,1662,12
L014,704,3,707,3,701,704,3
L015,576,9,579,9,567,570,3
L016,947,10,953,10,937,943,6
L017,594,12,595,13,582,582,0
L018,912,16,919,16,896,903,7
L019,344,6,349,6,338,343,5
M001,872,455,876,455,417,421,4
M002,1511,116,1518,116,1395,1402,7
M003,1741,118,1749,119,1623,1630,7
M004,766,57,767,57,709,710,1
M005,872,182,877,183,690,694,4
M006,457,159,458,159,298,299,1
M007,485,152,487,153,333,334,1
M008,759,212,784,218,547,566,19
M009,994,295,995,295,699,700,1
M010,460,156,461,156,304,305,1
M011,488,151,488,152,337,336,-1
M012,963,521,968,521,442,447,5
M013,718,133,724,136,585,588,3
M014,907,465,910,467,442,443,1
M015,997,332,1000,332,665,668,3
M016,282,108,287,108,174,179,5
M017,449,171,451,171,278,280,2
M018,444,144,445,145,300,300,0
M019,586,229,586,229,357,357,0
M020,1302,320,1305,320,982,985,3
M021,561,193,564,195,368,369,1
M022,1028,501,1035,504,527,531,4
M023,1091,434,1095,435,657,660,3
M024,693,203,694,203,490,491,1
M025,1152,829,1159,829,323,330,7
M026,1113,332,1117,334,781,783,2
M027,425,199,426,199,226,227,1
M028,986,199,989,199,787,790,3
M029,703,413,705,415,290,290,0
M030,1612,759,1618,759,853,859,6
M031,512,68,512,68,444,444,0
M032,645,99,649,99,546,550,4
N001,1087,124,1095,124,963,971,8
N002,1145,102,1155,103,1043,1052,9
N003,478,286,480,291,192,189,-3
N004,1100,603,1109,605,497,504,7
N005,297,168,303,169,129,134,5
N006,643,766,644,771,-123,-127,-4
N007,701,497,701,500,204,201,-3
N008,1276,756,1280,757,520,523,3
N009,569,220,573,220,349,353,4
N010,653,464,666,470,189,196,7
N011,508,532,511,534,-24,-23,1
N012,769,318,775,319,451,456,5
N013,621,314,625,317,307,308,1
N014,1184,346,1192,350,838,842,4
N015,1705,854,1710,858,851,852,1
N016,637,540,648,551,97,97,0
N017,831,342,836,345,489,491,2
N018,1020,444,1021,447,576,574,-2
N019,574,292,582,292,282,290,8
N020,825,561,829,565,264,264,0
N021,635,569,639,573,66,66,0
N022,1593,829,1609,834,764,775,11
N023,1112,590,1117,591,522,526,4
N024,851,540,853,540,311,313,2
N025,1451,736,1451,738,715,713,-2
N026,1028,371,1033,375,657,658,1
N027,194,186,195,186,8,9,1
N028,651,559,655,560,92,95,3
N029,1178,687,1183,693,491,490,-1
P001,942,194,946,198,748,748,0
P002,853,172,860,172,681,688,7
P003,1235,308,1236,310,927,926,-1
P004,864,214,867,214,650,653,3
P005,572,228,574,228,344,346,2
P006,612,206,615,206,406,409,3
Q010,410,647,412,650,-237,-238,-1
Q020,97,232,99,232,-135,-133,2
Q030,790,1012,794,1020,-222,-226,-4
Q031,668,919,674,923,-251,-249,2
Q040,1273,1117,1280,1120,156,160,4
Q041,1427,1103,1436,1107,324,329,5
Q042,524,480,530,481,44,49,5
Q043,643,779,647,781,-136,-134,2
Q044,3433,2506,3438,2510,927,928,1
Q045,570,550,573,552,20,21,1
Q050,996,57,998,57,939,941,2
Q051,229,88,231,89,141,142,1
Q060,1645,949,1656,952,696,704,8
Q061,1739,1118,1746,1118,621,628,7
Q062,1281,584,1285,585,697,700,3
Q063,517,393,519,393,124,126,2
Q064,848,460,853,460,388,393,5
Q065,2343,1256,2354,1259,1087,1095,8
Q066,694,710,702,713,-16,-11,5
Q067,1002,715,1011,719,287,292,5
Q068,989,661,993,663,328,330,2
Q069,788,417,789,417,371,372,1
Q070,1594,831,1599,831,763,768,5
Q071,1055,791,1060,792,264,268,4
Q072,908,630,915,633,278,282,4
Q080,1261,330,1266,334,931,932,1
Q081,804,174,807,177,630,630,0
Q082,1050,41,1059,41,1009,1018,9
Q083,1228,25,1231,26,1203,1205,2
Q090,425,562,426,566,-137,-140,-3
Q091,950,1630,958,1646,-680,-688,-8
R001,640,760,649,774,-120,-125,-5
R002,833,816,848,826,17,22,5
R003,386,457,406,469,-71,-63,8
R004,649,712,661,721,-63,-60,3
R005,339,425,347,430,-86,-83,3
R006,376,285,382,288,91,94,3
R007,391,448,397,454,-57,-57,0
