precinctname,nelson8,scott8,nelson13,scott13,nelson_margin_8,nelson_margin_13,nelson_margin_CHANGE
A001,1097,1414,1164,1465,-317,-301,16
A002,393,289,427,312,104,115,11
A003,554,470,583,492,84,91,7
A004,481,311,501,319,170,182,12
A005,415,518,443,529,-103,-86,17
A006,761,319,795,333,442,462,20
A007,540,472,541,474,68,67,-1
A008,249,32,274,35,217,239,22
A009,989,771,997,771,218,226,8
A010,311,310,322,318,1,4,3
A011,1017,29,1070,31,988,1039,51
A012,674,443,678,444,231,234,3
A013,1033,728,1085,764,305,321,16
A014,1157,581,1162,581,576,581,5
A015,986,49,1035,54,937,981,44
A016,645,448,650,451,197,199,2
A017,133,100,133,101,33,32,-1
A018,619,109,642,113,510,529,19
A019,548,401,572,408,147,164,17
A020,646,335,664,353,311,311,0
A021,627,179,652,183,448,469,21
A022,704,70,725,71,634,654,20
A023,387,60,400,60,327,340,13
A024,532,86,541,86,446,455,9
B001,201,616,204,619,-415,-415,0
B002,441,791,443,797,-350,-354,-4
B003,286,553,286,558,-267,-272,-5
B004,530,1133,534,1142,-603,-608,-5
B005,227,248,228,252,-21,-24,-3
B006,185,285,185,286,-100,-101,-1
C001,856,990,862,991,-134,-129,5
C002,254,373,255,373,-119,-118,1
C003,301,292,301,293,9,8,-1
C004,393,497,393,499,-104,-106,-2
C005,1325,46,1332,47,1279,1285,6
C006,1651,91,1658,92,1560,1566,6
C007,135,180,137,180,-45,-43,2
C008,340,347,340,348,-7,-8,-1
C009,289,79,291,79,210,212,2
C010,793,602,801,605,191,196,5
C011,536,607,537,611,-71,-74,-3
C012,483,525,484,527,-42,-43,-1
C013,330,322,330,322,8,8,0
C014,329,379,331,380,-50,-49,1
C015,1164,86,1168,86,1078,1082,4
C016,894,954,896,957,-60,-61,-1
C017,315,442,317,443,-127,-126,1
C018,445,541,448,543,-96,-95,1
C019,413,575,414,579,-162,-165,-3
C020,409,68,410,69,341,341,0
C021,638,417,641,419,221,222,1
C022,385,573,388,576,-188,-188,0
C023,2263,1207,2283,1211,1056,1072,16
C024,1052,522,1074,525,530,549,19
C025,336,26,337,26,310,311,1
C026,230,75,240,77,155,163,8
C027,190,34,190,36,156,154,-2
C028,1482,68,1516,69,1414,1447,33
C029,293,255,299,260,38,39,1
C030,712,416,713,419,296,294,-2
C031,769,373,775,380,396,395,-1
C032,174,32,174,32,142,142,0
C033,268,139,271,139,129,132,3
C034,868,440,868,443,428,425,-3
C035,649,81,669,83,568,586,18
C036,168,36,170,39,132,131,-1
C037,324,275,326,280,49,46,-3
C038,55,66,55,68,-11,-13,-2
D001,620,355,632,358,265,274,9
D002,777,269,783,269,508,514,6
D003,770,425,772,426,345,346,1
D004,653,239,657,240,414,417,3
D005,1126,193,1129,193,933,936,3
D006,722,302,724,304,420,420,0
D007,575,70,577,70,505,507,2
D008,658,317,659,318,341,341,0
D009,1432,181,1436,182,1251,1254,3
D010,375,73,375,73,302,302,0
D011,140,17,140,17,123,123,0
D012,296,36,296,36,260,260,0
D013,638,143,644,143,495,501,6
D014,542,240,549,242,302,307,5
D015,826,384,832,386,442,446,4
D016,1191,577,1193,578,614,615,1
E001,277,42,278,42,235,236,1
E002,926,337,935,337,589,598,9
E003,678,585,693,601,93,92,-1
E004,1505,578,1536,590,927,946,19
E005,920,370,926,371,550,555,5
E006,1796,1058,1804,1062,738,742,4
E007,1472,718,1508,729,754,779,25
E008,1126,528,1130,531,598,599,1
E009,639,399,640,402,240,238,-2
E010,1538,844,1542,844,694,698,4
E011,1315,598,1323,601,717,722,5
E012,623,232,626,232,391,394,3
E013,964,556,967,558,408,409,1
E014,1289,976,1295,977,313,318,5
E015,533,384,557,392,149,165,16
E016,614,413,622,415,201,207,6
E017,1227,685,1230,689,542,541,-1
E018,366,352,367,353,14,14,0
E019,778,312,778,313,466,465,-1
E020,1383,615,1383,619,768,764,-4
E021,706,386,707,388,320,319,-1
E022,1167,769,1169,771,398,398,0
E023,734,481,738,482,253,256,3
E024,1365,761,1372,764,604,608,4
E025,474,225,477,225,249,252,3
E026,721,359,723,361,362,362,0
E027,1345,693,1350,694,652,656,4
E028,672,253,677,254,419,423,4
E029,547,123,548,123,424,425,1
E030,284,56,286,56,228,230,2
E031,842,557,846,558,285,288,3
E032,877,502,882,502,375,380,5
E033,833,411,838,412,422,426,4
E034,330,249,333,250,81,83,2
F001,782,515,784,517,267,267,0
F002,629,276,635,276,353,359,6
F003,623,250,627,251,373,376,3
F004,2149,1008,2164,1015,1141,1149,8
F005,1555,884,1568,887,671,681,10
F006,1028,391,1029,395,637,634,-3
F007,1085,497,1093,499,588,594,6
F008,1017,417,1022,417,600,605,5
F009,882,339,888,341,543,547,4
F010,1089,531,1097,533,558,564,6
F011,397,333,398,335,64,63,-1
F012,1481,964,1490,965,517,525,8
F013,471,215,473,216,256,257,1
F014,608,276,613,277,332,336,4
G001,975,263,977,265,712,712,0
G002,1117,622,1119,623,495,496,1
G003,983,468,998,470,515,528,13
