racename,precinctname,Choice,Election Day,"Vote
By
Mail",Early Votes,Provisional,Total Votes,Percentage
Representative in Congress District 22,A001,Nicolas Kimaz (REP),550,280,557,0,"1,387",55.61%
Representative in Congress District 22,A001,Ted Deutch (DEM),343,299,465,0,"1,107",44.39%
Representative in Congress District 22,A002,Nicolas Kimaz (REP),112,62,94,0,268,39.88%
Representative in Congress District 22,A002,Ted Deutch (DEM),159,85,160,0,404,60.12%
Representative in Congress District 22,A003,Nicolas Kimaz (REP),203,105,101,0,409,41.02%
Representative in Congress District 22,A003,Ted Deutch (DEM),225,253,110,0,588,58.98%
Representative in Congress District 22,A004,Nicolas Kimaz (REP),187,53,72,0,312,39.75%
Representative in Congress District 22,A004,Ted Deutch (DEM),217,71,185,0,473,60.25%
Representative in Congress District 22,A005,Nicolas Kimaz (REP),248,95,145,0,488,53.39%
Representative in Congress District 22,A005,Ted Deutch (DEM),177,102,147,0,426,46.61%
Representative in Congress District 22,A006,Nicolas Kimaz (REP),98,58,143,0,299,28.10%
Representative in Congress District 22,A006,Ted Deutch (DEM),216,151,398,0,765,71.90%
Representative in Congress District 22,A007,Nicolas Kimaz (REP),177,119,148,0,444,44.14%
Representative in Congress District 22,A007,Ted Deutch (DEM),203,131,228,0,562,55.86%
Representative in Congress District 22,A008,Nicolas Kimaz (REP),-,-,-,-,35,12.73%
Representative in Congress District 22,A008,Ted Deutch (DEM),75,41,124,0,240,87.27%
Representative in Congress District 22,A009,Nicolas Kimaz (REP),368,196,140,0,704,40.46%
Representative in Congress District 22,A009,Ted Deutch (DEM),378,455,203,0,"1,036",59.54%
Representative in Congress District 22,A010,Nicolas Kimaz (REP),154,60,101,0,315,50.48%
Representative in Congress District 22,A010,Ted Deutch (DEM),122,62,125,0,309,49.52%
Representative in Congress District 22,A011,Nicolas Kimaz (REP),-,-,-,-,30,2.87%
Representative in Congress District 22,A011,Ted Deutch (DEM),245,235,534,0,"1,014",97.13%
Representative in Congress District 22,A012,Nicolas Kimaz (REP),195,120,98,0,413,37.11%
Representative in Congress District 22,A012,Ted Deutch (DEM),200,294,206,0,700,62.89%
Representative in Congress District 22,A013,Nicolas Kimaz (REP),309,151,238,0,698,40.30%
Representative in Congress District 22,A013,Ted Deutch (DEM),374,217,443,0,"1,034",59.70%
Representative in Congress District 22,A014,Nicolas Kimaz (REP),227,135,206,0,568,32.93%
Representative in Congress District 22,A014,Ted Deutch (DEM),352,328,477,0,"1,157",67.07%
Representative in Congress District 22,A015,Nicolas Kimaz (REP),19,11,19,0,49,4.77%
Representative in Congress District 22,A015,Ted Deutch (DEM),271,196,511,0,978,95.23%
Representative in Congress District 22,A016,Nicolas Kimaz (REP),182,134,98,0,414,38.37%
Representative in Congress District 22,A016,Ted Deutch (DEM),186,253,226,0,665,61.63%
Representative in Congress District 22,A017,Nicolas Kimaz (REP),33,43,23,0,99,43.04%
Representative in Congress District 22,A017,Ted Deutch (DEM),38,71,22,0,131,56.96%
Representative in Congress District 22,A018,Nicolas Kimaz (REP),37,30,38,0,105,14.71%
Representative in Congress District 22,A018,Ted Deutch (DEM),188,157,264,0,609,85.29%
Representative in Congress District 22,A019,Nicolas Kimaz (REP),187,81,117,0,385,41.26%
Representative in Congress District 22,A019,Ted Deutch (DEM),205,118,225,0,548,58.74%
Representative in Congress District 22,A020,Nicolas Kimaz (REP),172,67,84,0,323,33.26%
Representative in Congress District 22,A020,Ted Deutch (DEM),278,126,244,0,648,66.74%
Representative in Congress District 22,A021,Nicolas Kimaz (REP),73,41,60,0,174,21.83%
Representative in Congress District 22,A021,Ted Deutch (DEM),269,86,268,0,623,78.17%
Representative in Congress District 22,A022,Nicolas Kimaz (REP),21,18,23,0,62,8.18%
Representative in Congress District 22,A022,Ted Deutch (DEM),198,125,373,0,696,91.82%
Representative in Congress District 22,A023,Nicolas Kimaz (REP),33,13,10,0,56,12.67%
Representative in Congress District 22,A023,Ted Deutch (DEM),157,55,174,0,386,87.33%
Representative in Congress District 22,A024,Nicolas Kimaz (REP),-,-,-,-,79,13.37%
Representative in Congress District 22,A024,Ted Deutch (DEM),195,35,282,0,512,86.63%
Representative in Congress District 22,B001,Nicolas Kimaz (REP),253,185,160,0,598,73.92%
Representative in Congress District 22,B001,Ted Deutch (DEM),96,68,47,0,211,26.08%
Representative in Congress District 22,B002,Nicolas Kimaz (REP),315,223,213,0,751,61.91%
Representative in Congress District 22,B002,Ted Deutch (DEM),139,170,153,0,462,38.09%
Representative in Congress District 22,B003,Nicolas Kimaz (REP),249,147,147,0,543,65.42%
Representative in Congress District 22,B003,Ted Deutch (DEM),114,83,90,0,287,34.58%
Representative in Congress District 22,B004,Nicolas Kimaz (REP),490,272,315,0,"1,077",65.71%
Representative in Congress District 22,B004,Ted Deutch (DEM),175,177,210,0,562,34.29%
Representative in Congress District 22,B005,Nicolas Kimaz (REP),116,49,76,0,241,51.61%
Representative in Congress District 22,B005,Ted Deutch (DEM),88,79,59,0,226,48.39%
Representative in Congress District 22,B006,Nicolas Kimaz (REP),138,63,79,0,280,60.34%
Representative in Congress District 22,B006,Ted Deutch (DEM),84,42,58,0,184,39.66%
Representative in Congress District 22,C001,Nicolas Kimaz (REP),376,255,327,0,958,52.70%
Representative in Congress District 22,C001,Ted Deutch (DEM),249,259,352,0,860,47.30%
Representative in Congress District 22,C002,Nicolas Kimaz (REP),124,88,158,0,370,58.92%
Representative in Congress District 22,C002,Ted Deutch (DEM),73,73,112,0,258,41.08%
Representative in Congress District 22,C003,Nicolas Kimaz (REP),98,64,118,0,280,48.28%
Representative in Congress District 22,C003,Ted Deutch (DEM),82,62,156,0,300,51.72%
Representative in Congress District 22,C004,Nicolas Kimaz (REP),97,151,234,0,482,54.46%
