racename,precinctname,Choice,Election Day,"Vote
By
Mail",Early Votes,Provisional,Total Votes,Percentage
Governor and Lieutenant Governor,A001,Ron DeSantis (REP),619,317,614,0,"1,550",58.89%
Governor and Lieutenant Governor,A001,Andrew Gillum (DEM),328,283,449,0,"1,060",40.27%
Governor and Lieutenant Governor,A001,Darcy G. Richardson (REF),-,-,-,-,7,0.27%
Governor and Lieutenant Governor,A001,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,6,0.23%
Governor and Lieutenant Governor,A001,Ryan Christopher Foley (NPA),-,-,-,-,4,0.15%
Governor and Lieutenant Governor,A001,Bruce Stanley (NPA),-,-,-,-,2,0.08%
Governor and Lieutenant Governor,A001,WRITE-IN (NON),-,-,-,-,3,0.11%
Governor and Lieutenant Governor,A002,Ron DeSantis (REP),124,64,99,0,287,40.65%
Governor and Lieutenant Governor,A002,Andrew Gillum (DEM),157,84,167,0,408,57.79%
Governor and Lieutenant Governor,A002,Darcy G. Richardson (REF),-,-,-,-,3,0.42%
Governor and Lieutenant Governor,A002,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.28%
Governor and Lieutenant Governor,A002,Ryan Christopher Foley (NPA),-,-,-,-,1,0.14%
Governor and Lieutenant Governor,A002,Bruce Stanley (NPA),-,-,-,-,1,0.14%
Governor and Lieutenant Governor,A002,WRITE-IN (NON),-,-,-,-,4,0.57%
Governor and Lieutenant Governor,A003,Ron DeSantis (REP),269,136,123,0,528,46.85%
Governor and Lieutenant Governor,A003,Andrew Gillum (DEM),235,245,109,0,589,52.26%
Governor and Lieutenant Governor,A003,Darcy G. Richardson (REF),-,-,-,-,5,0.44%
Governor and Lieutenant Governor,A003,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.18%
Governor and Lieutenant Governor,A003,Ryan Christopher Foley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A003,Bruce Stanley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A003,WRITE-IN (NON),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A004,Ron DeSantis (REP),209,57,77,0,343,40.88%
Governor and Lieutenant Governor,A004,Andrew Gillum (DEM),224,73,195,0,492,58.64%
Governor and Lieutenant Governor,A004,Darcy G. Richardson (REF),-,-,-,-,3,0.36%
Governor and Lieutenant Governor,A004,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A004,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A004,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A004,WRITE-IN (NON),-,-,-,-,1,0.12%
Governor and Lieutenant Governor,A005,Ron DeSantis (REP),273,108,173,0,554,55.73%
Governor and Lieutenant Governor,A005,Andrew Gillum (DEM),190,103,144,0,437,43.96%
Governor and Lieutenant Governor,A005,Darcy G. Richardson (REF),-,-,-,-,2,0.20%
Governor and Lieutenant Governor,A005,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.10%
Governor and Lieutenant Governor,A005,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
