racename,precinctname,Choice,Election Day,"Vote
By
Mail",Early Votes,Provisional,Total Votes,Percentage
Governor and Lieutenant Governor,A001,Ron DeSantis (REP),-,-,-,-,"1,615",58.60%
Governor and Lieutenant Governor,A001,Andrew Gillum (DEM),-,-,-,-,"1,117",40.53%
Governor and Lieutenant Governor,A001,Darcy G. Richardson (REF),-,-,-,-,7,0.25%
Governor and Lieutenant Governor,A001,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,8,0.29%
Governor and Lieutenant Governor,A001,Ryan Christopher Foley (NPA),-,-,-,-,4,0.15%
Governor and Lieutenant Governor,A001,Bruce Stanley (NPA),-,-,-,-,2,0.07%
Governor and Lieutenant Governor,A001,WRITE-IN (NON),-,-,-,-,3,0.11%
Governor and Lieutenant Governor,A002,Ron DeSantis (REP),-,-,-,-,311,40.65%
Governor and Lieutenant Governor,A002,Andrew Gillum (DEM),-,-,-,-,441,57.65%
Governor and Lieutenant Governor,A002,Darcy G. Richardson (REF),-,-,-,-,3,0.39%
Governor and Lieutenant Governor,A002,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,3,0.39%
Governor and Lieutenant Governor,A002,Ryan Christopher Foley (NPA),-,-,-,-,2,0.26%
Governor and Lieutenant Governor,A002,Bruce Stanley (NPA),-,-,-,-,1,0.13%
Governor and Lieutenant Governor,A002,WRITE-IN (NON),-,-,-,-,4,0.52%
Governor and Lieutenant Governor,A003,Ron DeSantis (REP),-,-,-,-,552,46.54%
Governor and Lieutenant Governor,A003,Andrew Gillum (DEM),-,-,-,-,622,52.45%
Governor and Lieutenant Governor,A003,Darcy G. Richardson (REF),-,-,-,-,6,0.51%
Governor and Lieutenant Governor,A003,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.17%
Governor and Lieutenant Governor,A003,Ryan Christopher Foley (NPA),-,-,-,-,2,0.17%
Governor and Lieutenant Governor,A003,Bruce Stanley (NPA),-,-,-,-,1,0.08%
Governor and Lieutenant Governor,A003,WRITE-IN (NON),-,-,-,-,1,0.08%
Governor and Lieutenant Governor,A004,Ron DeSantis (REP),209,66,77,0,352,40.55%
Governor and Lieutenant Governor,A004,Andrew Gillum (DEM),-,-,-,-,512,58.99%
Governor and Lieutenant Governor,A004,Darcy G. Richardson (REF),-,-,-,-,3,0.35%
Governor and Lieutenant Governor,A004,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A004,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
