cntycode,county,total_votes,scott_votes,nelson_votes
01,Alachua,114993,40590,74403
02,Baker,10523,8580,1943
03,Bay,63330,46646,16684
04,Bradford,10451,7573,2878
05,Brevard,281220,160240,120980
06,Broward,682453,211119,471334
07,Calhoun,4611,3583,1028
08,Charlotte,86404,52908,33496
09,Citrus,70635,47987,22648
10,Clay,93305,65618,27687
11,Collier,155676,101299,54377
12,Columbia,24733,17230,7503
13,Miami-Dade,801209,316014,485195
14,DeSoto,8828,5502,3326
15,Dixie,5759,4441,1318
16,Duval,378036,185833,192203
17,Escambia,128744,75904,52840
18,Flagler,52850,31454,21396
19,Franklin,5413,3403,2010
20,Gadsden,19992,6052,13940
21,Gilchrist,7335,5703,1632
22,Glades,3820,2664,1156
23,Gulf,5897,4319,1578
24,Hamilton,4519,2856,1663
25,Hardee,6367,4454,1913
26,Hendry,8837,5301,3536
27,Hernando,80269,49483,30786
28,Highlands,39651,26270,13381
29,Hillsborough,520972,239560,281412
30,Holmes,6768,5915,853
31,Indian River,73950,44782,29168
32,Jackson,15958,10785,5173
33,Jefferson,7323,3699,3624
34,Lafayette,2815,2194,621
35,Lake,154818,93494,61324
36,Lee,289061,174271,114790
37,Leon,139779,48754,91025
38,Levy,16973,11657,5316
39,Liberty,2706,2075,631
40,Madison,7602,4181,3421
41,Manatee,163123,94324,68799
42,Marion,154520,95548,58972
43,Martin,77404,46728,30676
44,Monroe,36062,18026,18036
45,Nassau,43471,31783,11688
46,Okaloosa,83746,60886,22860
47,Okeechobee,11217,7725,3492
48,Orange,474609,180687,293922
49,Osceola,114954,47883,67071
50,Palm Beach,588562,244776,343786
51,Pasco,210601,121185,89416
52,Pinellas,434404,205884,228520
53,Polk,244374,138710,105664
54,Putnam,28022,18686,9336
55,St. Johns,130601,85017,45584
56,St. Lucie,123544,59601,63943
57,Santa Rosa,75374,56351,19023
58,Sarasota,210512,113596,96916
59,Seminole,198881,97431,101450
60,Sumter,74505,52850,21655
61,Suwannee,15907,11863,4044
62,Taylor,7905,5642,2263
63,Union,4841,3647,1194
64,Volusia,228450,125706,102744
65,Wakulla,14183,9319,4864
66,Walton,30240,22763,7477
67,Washington,9055,7097,1958
